week,country,interest_USDT,interest_bitcoin,interest_crypto,demand_index_raw,demand_index
2026-10-19,South Africa,44.0,47.0,74.0,55.0,10.58
2026-10-26,Ghana,78.0,76.0,51.0,68.33333333333333,58.46
2026-10-26,Kenya,57.0,52.0,76.0,61.666666666666664,51.32
2026-10-26,Nigeria,83.0,75.0,71.0,76.33333333333333,50.88
2026-10-26,South Africa,49.0,46.0,87.0,60.666666666666664,26.92
2026-11-02,Ghana,84.0,69.0,50.0,67.66666666666667,56.92
2026-11-02,Kenya,75.0,66.0,72.0,71.0,69.74
2026-11-02,Nigeria,80.0,75.0,76.0,77.0,52.63
2026-11-02,South Africa,53.0,55.0,93.0,67.0,45.19
2026-11-09,Ghana,100.0,86.0,44.0,76.66666666666667,77.69
2026-11-09,Kenya,75.0,65.0,79.0,73.0,73.68
2026-11-09,Nigeria,84.0,78.0,77.0,79.66666666666667,59.65
2026-11-09,South Africa,61.0,55.0,100.0,72.0,59.62
2026-11-16,Ghana,58.0,91.0,41.0,63.333333333333336,46.92
2026-11-16,Kenya,100.0,87.0,72.0,86.33333333333333,100.0
2026-11-16,Nigeria,81.0,87.0,74.0,80.66666666666667,62.28
2026-11-16,South Africa,70.0,80.0,98.0,82.66666666666667,90.38
2026-11-23,Ghana,61.0,82.0,44.0,62.333333333333336,44.62
2026-11-23,Kenya,94.0,67.0,68.0,76.33333333333333,80.26
2026-11-23,Nigeria,76.0,76.0,70.0,74.0,44.74
2026-11-23,South Africa,56.0,67.0,87.0,70.0,53.85
2026-11-30,Ghana,79.0,78.0,38.0,65.0,50.77
2026-11-30,Kenya,80.0,60.0,69.0,69.66666666666667,67.11
2026-11-30,Nigeria,71.0,74.0,66.0,70.33333333333333,35.09
2026-11-30,South Africa,58.0,65.0,82.0,68.33333333333333,49.04
2026-12-07,Ghana,61.0,65.0,34.0,53.333333333333336,23.85
2026-12-07,Kenya,77.0,52.0,58.0,62.333333333333336,52.63
2026-12-07,Nigeria,76.0,73.0,69.0,72.66666666666667,41.23
2026-12-07,South Africa,54.0,55.0,76.0,61.666666666666664,29.81
2026-12-14,Ghana,62.0,71.0,31.0,54.666666666666664,26.92
2026-12-14,Kenya,48.0,47.0,55.0,50.0,28.29
2026-12-14,Nigeria,75.0,66.0,68.0,69.66666666666667,33.33
2026-12-14,South Africa,57.0,48.0,66.0,57.0,16.35
2026-12-21,Ghana,67.0,52.0,35.0,51.333333333333336,19.23
2026-12-21,Kenya,34.0,37.0,48.0,39.666666666666664,7.89
2026-12-21,Nigeria,65.0,60.0,58.0,61.0,10.53
2026-12-21,South Africa,57.0,46.0,57.0,53.333333333333336,5.77
